Date,BBL.BK,TTB.BK,KBANK.BK,PTTEP.BK,PTT.BK,CPALL.BK,CENTEL.BK,TISCO.BK,CBG.BK,LH.BK
2022-10-26,139.09786987304688,1.3295586109161377,137.85845947265625,163.9350128173828,34.234375,58.81081008911133,51.5,86.5706558227539,89.15398406982422,8.606491088867188
2022-10-27,139.58253479003906,1.310289740562439,139.31985473632812,166.2971954345703,34.72343826293945,59.30501937866211,51.5,86.79669189453125,89.8948745727539,8.747581481933594
2022-10-28,139.58253479003906,1.3006552457809448,138.8327178955078,170.5491180419922,35.21249771118164,59.30501937866211,51.75,86.11859893798828,89.64791107177734,8.700551986694336
2022-10-31,141.03651428222656,1.310289740562439,142.24264526367188,171.49398803710938,35.21249771118164,59.30501937866211,50.75,86.79669189453125,89.15398406982422,8.653521537780762
2022-11-01,141.03651428222656,1.3199241161346436,142.7297821044922,176.69078063964844,35.21249771118164,59.799224853515625,51.25,86.79669189453125,90.38880157470703,8.653521537780762
2022-11-02,140.55186462402344,1.3199241161346436,143.21690368652344,176.2183380126953,35.21249771118164,60.293434143066406,49.75,87.47479248046875,90.14183807373047,8.747581481933594
2022-11-03,141.52117919921875,1.3391931056976318,145.65257263183594,177.63565063476562,34.96796798706055,60.046329498291016,47.75,88.15288543701172,90.38880157470703,8.747581481933594
2022-11-04,141.03651428222656,1.3199241161346436,144.6782989501953,181.4151153564453,35.21249771118164,60.046329498291016,47.75,87.7008285522461,91.87059020996094,8.653521537780762
2022-11-07,141.03651428222656,1.310289740562439,144.19117736816406,180.94268798828125,34.96796798706055,60.046329498291016,48.5,87.9268569946289,91.37665557861328,8.700551986694336
2022-11-08,141.03651428222656,1.310289740562439,144.6782989501953,181.4151153564453,34.72343826293945,60.293434143066406,49.0,87.7008285522461,94.09326171875,8.747581481933594
2022-11-09,141.03651428222656,1.310289740562439,143.70404052734375,182.3599853515625,34.234375,60.293434143066406,48.25,87.2487564086914,94.09326171875,8.747581481933594
2022-11-10,141.03651428222656,1.310289740562439,144.19117736816406,179.05294799804688,33.50078201293945,60.293434143066406,50.0,87.9268569946289,94.34022521972656,8.888671875
2022-11-11,141.03651428222656,1.310289740562439,144.19117736816406,178.58050537109375,33.98984146118164,60.78764343261719,50.25,88.15288543701172,97.30379486083984,8.935702323913574
