iters,time
339,2.2411346435546875e-05
340,2.2411346435546875e-05
341,2.2411346435546875e-05
342,2.2649765014648438e-05
343,2.2649765014648438e-05
344,2.2649765014648438e-05
345,2.2649765014648438e-05
346,2.2649765014648438e-05
347,2.288818359375e-05
348,2.288818359375e-05
349,2.288818359375e-05
350,2.288818359375e-05
351,2.288818359375e-05
352,2.3126602172851562e-05
353,2.3126602172851562e-05
354,2.3126602172851562e-05
355,2.3126602172851562e-05
356,2.3365020751953125e-05
357,2.3365020751953125e-05
358,2.3365020751953125e-05
359,2.3365020751953125e-05
360,2.3365020751953125e-05
361,2.3603439331054688e-05
362,2.3603439331054688e-05
363,2.3603439331054688e-05
364,2.3603439331054688e-05
365,2.3603439331054688e-05
366,2.384185791015625e-05
367,2.384185791015625e-05
368,2.384185791015625e-05
369,2.384185791015625e-05
370,2.384185791015625e-05
371,2.4080276489257812e-05
372,2.4080276489257812e-05
373,2.4080276489257812e-05
374,2.4080276489257812e-05
375,2.4318695068359375e-05
376,2.4318695068359375e-05
377,2.4318695068359375e-05
378,2.4318695068359375e-05
379,2.4318695068359375e-05
380,2.4557113647460938e-05
381,2.4557113647460938e-05
382,2.4557113647460938e-05
383,2.4557113647460938e-05
384,2.4557113647460938e-05
385,2.47955322265625e-05
386,2.47955322265625e-05
387,2.47955322265625e-05
388,2.47955322265625e-05
389,2.47955322265625e-05
390,2.5033950805664062e-05
391,2.5033950805664062e-05
392,2.5033950805664062e-05
393,2.5033950805664062e-05
394,2.5033950805664062e-05
395,2.5272369384765625e-05
396,2.5272369384765625e-05
397,2.5272369384765625e-05
398,2.6226043701171875e-05
399,2.6464462280273438e-05
400,2.6464462280273438e-05
401,2.6702880859375e-05
402,2.6702880859375e-05
403,2.6702880859375e-05
404,2.6941299438476562e-05
405,2.6941299438476562e-05
406,2.6941299438476562e-05
407,2.6941299438476562e-05
408,2.7179718017578125e-05
409,2.7179718017578125e-05
410,2.7179718017578125e-05
411,2.7179718017578125e-05
412,2.7179718017578125e-05
413,2.7418136596679688e-05
414,2.7418136596679688e-05
415,2.7418136596679688e-05
416,2.7418136596679688e-05
417,2.7418136596679688e-05
418,2.765655517578125e-05
419,2.765655517578125e-05
420,2.765655517578125e-05
421,2.765655517578125e-05
422,2.765655517578125e-05
423,2.7894973754882812e-05
424,2.7894973754882812e-05
425,2.7894973754882812e-05
426,2.7894973754882812e-05
427,2.7894973754882812e-05
428,2.8133392333984375e-05
429,2.8133392333984375e-05
430,2.8133392333984375e-05
431,2.8133392333984375e-05
432,2.8133392333984375e-05
433,2.8371810913085938e-05
434,2.8371810913085938e-05
435,2.8371810913085938e-05
436,2.8371810913085938e-05
437,2.8371810913085938e-05
438,2.86102294921875e-05
439,2.86102294921875e-05
440,2.86102294921875e-05
441,2.86102294921875e-05
442,2.86102294921875e-05
443,2.9087066650390625e-05
444,2.9087066650390625e-05
445,2.9087066650390625e-05
446,2.9087066650390625e-05
447,2.9087066650390625e-05
448,2.9325485229492188e-05
449,2.9325485229492188e-05
450,2.9325485229492188e-05
451,2.9325485229492188e-05
452,2.956390380859375e-05
453,2.956390380859375e-05
454,2.956390380859375e-05
455,2.956390380859375e-05
456,2.956390380859375e-05
457,2.9802322387695312e-05
458,2.9802322387695312e-05
459,3.0040740966796875e-05
460,3.0040740966796875e-05
461,3.0040740966796875e-05
462,3.0040740966796875e-05
463,3.0040740966796875e-05
464,3.0279159545898438e-05
465,3.0279159545898438e-05
466,3.0279159545898438e-05
467,3.0279159545898438e-05
468,3.0279159545898438e-05
469,3.0517578125e-05
470,3.0517578125e-05
471,3.0517578125e-05
472,3.0517578125e-05
473,3.0517578125e-05
474,3.075599670410156e-05
475,3.075599670410156e-05
476,3.075599670410156e-05
477,3.075599670410156e-05
478,3.075599670410156e-05
479,3.0994415283203125e-05
480,3.0994415283203125e-05
481,3.0994415283203125e-05
482,3.0994415283203125e-05
483,3.170967102050781e-05
484,3.1948089599609375e-05
485,3.1948089599609375e-05
486,3.1948089599609375e-05
487,3.1948089599609375e-05
488,3.218650817871094e-05
489,3.218650817871094e-05
490,3.218650817871094e-05
491,3.218650817871094e-05
492,3.218650817871094e-05
493,3.266334533691406e-05
494,3.266334533691406e-05
495,3.266334533691406e-05
496,3.266334533691406e-05
497,3.266334533691406e-05
498,3.2901763916015625e-05
499,3.2901763916015625e-05
500,3.2901763916015625e-05
501,3.2901763916015625e-05
502,3.2901763916015625e-05
503,3.314018249511719e-05
504,3.314018249511719e-05
505,3.314018249511719e-05
506,3.314018249511719e-05
507,3.337860107421875e-05
508,3.337860107421875e-05
509,3.337860107421875e-05
510,3.337860107421875e-05
511,3.337860107421875e-05
512,3.361701965332031e-05
513,3.361701965332031e-05
514,3.361701965332031e-05
515,3.361701965332031e-05
516,3.361701965332031e-05
517,3.3855438232421875e-05
518,3.3855438232421875e-05
519,3.3855438232421875e-05
520,3.3855438232421875e-05
521,3.409385681152344e-05
522,3.409385681152344e-05
523,3.409385681152344e-05
